,Location ID,Field,Telescope,SDSS ID,nvisits,Bin ,Signal-to-noise,teff,Effective Temperature Error,logg,Log(g) Error,vscatter,vsini,RA,Dec,SLs,FE/H,FE/H Error,Radius [Solar Radii],"CO Mass [Solar Masses, Joker]","CO Mass [Solar Masses, Rotational Period]",Star Flags (spelled),ASPCAP Flags (spelled),J-Band Magnitude,J-Band Error,H-Band Magnitude,H-Band Error,K-Band Magnitude,K-Band Error,"Period [Joker, Seconds]",Eccentricity [Joker],"K [Joker, km/s]","Period [seconds, Rotational]",Percent Error Mass,Comments,,,,,,,
945,5242,ORIONOB1AB-C,apo25m,2M05252037-0158368,4,2,112.02503,4104.4385,11.510292,4.2164893,0.02744958,7.2392993,14.47105,81.334911,-1.97691,1,-0.27995,-0.27995,1.293,3.051838641,1.058384347,PERSIST_LOW,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",11.796,0.024,11.172,0.027,10.983,0.024,131195.2766,0.459600091,245.7568796,390571.3227,65.32,,,,,,,,
4150,5005,K05_080+14,apo25m,2M19283348+4734144,4,2,272.75656,6283.835,40.446167,4.012889,0.021859271,13.9309025,10.9572115,292.139533,47.57069,1,-0.00099993,-0.00099993,2.26,3.020136021,1.157627473,,,9.786,0.021,9.615,0.017,9.542,0.015,168672.3713,0.055982534,169.5347856,901592.45,61.67,,,,,,,,
2225,5634,142+35_btx,apo25m,2M08590163+6954393,3,2,115.752266,4494.9956,14.311016,3.8526812,0.026888337,6.373078,13.498952,134.756818,69.910934,1,-0.22858,-0.22858,2.585,2.990966548,1.066610819,,VMICRO_WARN,11.908,0.019,11.408,0.017,11.27,0.022,139902,0.10261789,183.580596,837071.1346,64.339,,,,,,,,
1452,5209,N2243-S,lco25m,2M06275333-3159469,3,2,112.645386,4673.793,11.542398,3.8146224,0.0302193,16.537169,15.513152,96.972242,-31.996368,1,-0.15913,-0.15913,2.87,2.894038679,1.183092888,,VMICRO_WARN,12.633,0.023,12.148,0.024,12.064,0.023,172378.2589,0.005170364,158.1556013,808693.0685,59.12,,,,,,,,
487,4554,146-04,apo25m,2M03305255+5238296,3,2,192.62169,6084.551,40.81245,4.222752,0.026986767,15.781855,10.339512,52.718976,52.641567,1,-0.25668,-0.25668,1.769,2.891212991,1.168868357,,"VMICRO_WARN,N_M_WARN",11.616,0.019,11.228,0.028,11.107,0.023,133473.3913,0.135331929,184.5856416,747876.1145,59.572,,,,,,,,
2434,2685,244+45_MGA,apo25m,2M10271730+0106138,3,2,112.5663,6077.419,49.7697,4.1808987,0.04252999,39.205833,13.418377,156.822097,1.10384,1,-0.22451,-0.22451,1.535,2.832669945,1.417079485,BRIGHT_NEIGHBOR,N_M_WARN,11.456,0.027,11.19,0.026,11.118,0.023,131054.8405,0.091611758,177.9920506,500046.3505,49.974,,,,,,,,
705,4556,158-04,apo25m,2M04244157+4331038,3,2,101.93587,4506.9004,16.48234,3.8179646,0.032412816,19.398748,14.105874,66.173224,43.517746,1,-0.38321,-0.38321,3.833,2.776792079,1.253766596,,N_M_WARN,12.834,0.023,12.16,0.022,11.957,0.022,176368.5722,0.063822165,156.022966,1187792.806,54.848,,,,,,,,
209,7240,sgr_tidal15,lco25m,2M01230834-0803007,4,2,93.07038,5243.0737,31.52618,3.9786696,0.038735,42.207573,26.163754,20.784764,-8.050198,1,-0.40998,-0.40998,1.92,2.666718407,1.380567716,,"VMICRO_WARN,N_M_WARN",12.843,0.024,12.468,0.023,12.398,0.021,155373.1533,0.049769368,155.681838,320776.8684,48.23,,,,,,,,
4549,5451,046-47-O,lco25m,2M22042753-1147097,3,2,230.94792,5474.4307,24.56546,4.436649,0.023816602,1.3517067,11.426151,331.114735,-11.786052,1,-0.24276,-0.24276,1.203,2.639162369,1.011169289,MTPFLUX_LT_75,"VMICRO_WARN,N_M_WARN",10.232,0.024,9.853,0.026,9.809,0.023,171395.2675,0.643487573,243.5984949,460222.1744,61.686,,,,,,,,
3062,4203,N5634SGR2,apo25m,2M14254719-0634112,3,2,83.41479,4570.3916,21.26497,4.4230843,0.04395415,22.675385,28.523312,216.446662,-6.56979,1,-0.64657,-0.64657,1.077,2.60267014,1.144587225,PERSIST_LOW,"VMICRO_WARN,N_M_WARN",12.543,0.023,12.029,0.022,11.934,0.024,210229.9324,0.002881804,134.2847943,165050.7958,56.023,,,,,,,,
64,5097,120-06,apo25m,2M00334175+5759026,3,2,332.97913,4743.8115,13.72487,4.472014,0.021167384,2.0977879,10.587659,8.423981,57.984058,1,-0.21986,-0.21986,1.004,2.601638481,1.016802312,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",10.411,0.023,9.844,0.028,9.752,0.02,258551.635,0.038017634,127.555981,414510.5983,60.917,,,,,,,,
3923,5759,CVZ_OB08_btx,apo25m,2M18504796+6029174,2,2,250.2672,6477.1025,56.222813,3.731494,0.02923136,17.927137,16.210634,282.699847,60.488174,1,-0.28216,-0.28216,2.351,2.5659009,1.183002045,SUSPECT_BROAD_LINES,,10.284,0.022,10.113,0.018,10.062,0.015,131903.3077,0.211447358,173.9818862,633949.2616,53.895,,,,,,,,
3029,4516,340+60,apo25m,2M14040264+0218381,3,2,263.1133,5987.576,41.698143,3.9699845,0.030910907,1.2915673,14.060475,211.011004,2.310593,1,-0.45216,-0.45216,2.071,2.552784992,1.01194225,,"C_M_WARN,N_M_WARN",11.043,0.023,10.763,0.023,10.73,0.027,329173.2216,0.028664611,114.9942095,643845.9646,60.359,,,,,,,,
3039,4517,350+60,apo25m,2M14132481+0451006,3,2,30.328136,4679.568,26.766539,4.2058144,0.053675532,21.630491,15.10428,213.353407,4.850189,1,-0.65815,-0.65815,0.965,2.550963882,1.166438567,PERSIST_HIGH,"VMICRO_WARN,N_M_WARN,SN_BAD",13.007,0.029,12.509,0.023,12.396,0.024,219947.065,0.043443423,132.4558059,279273.133,54.275,,,,,,,,
3066,5186,090+60,apo25m,2M14292269+4929515,3,2,53.673805,4624.477,21.692194,4.407604,0.042294677,62.374718,27.327503,217.34455,49.497643,1,-0.48752,-0.48752,0.919,2.543682869,1.447502863,PERSIST_LOW,VMICRO_WARN,12.985,0.024,12.484,0.032,12.392,0.03,162259.2945,0.027539959,144.9808365,147000.0331,43.094,,,,,,,,
4297,5438,M71,apo25m,2M19581342+1815386,4,2,136.4926,6711.5493,76.765144,3.7368243,0.034862734,3.4890656,15.02104,299.555941,18.260731,1,-0.1561,-0.1561,3.266,2.520998795,1.037345223,SUSPECT_BROAD_LINES,"N_M_WARN,C_M_BAD",11.368,0.021,11.266,0.024,11.173,0.023,141298.9666,0.369230568,186.852544,950425.4334,58.852,,,,,,,,
4651,4474,075-45,apo25m,2M22453272+0706575,3,2,60.74772,4831.7725,26.396023,4.359224,0.038630374,47.115032,22.387213,341.386357,7.115987,1,-0.36033,-0.36033,1.043,2.486899173,1.361797324,,"VMICRO_WARN,N_M_WARN",12.986,0.026,12.508,0.032,12.312,0.03,159575.5783,0.00227059,140.7389785,203650.8133,45.241,,,,,,,,
60,5143,120-30,apo25m,2M00325201+3316471,3,2,114.09875,5890.115,39.33724,4.3360806,0.029422665,9.803916,14.852515,8.216713,33.279755,1,-0.055423,-0.055423,1.517,2.475182416,1.084001273,,VMICRO_WARN,12.184,0.024,11.957,0.032,11.766,0.022,230444.6869,0.000623143,123.8190748,446465.0352,56.205,,,,,,,,
2426,4224,223+55,apo25m,2M10235474+1648178,3,2,86.04944,5165.2515,21.154722,4.487388,0.024075178,39.30179,10.4447975,155.978104,16.804956,1,0.12839,0.12839,0.954,2.451207439,1.381324761,,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",13.004,0.021,12.616,0.025,12.475,0.021,133913.6822,0.022083577,148.5195948,399254.8697,43.647,,,,,,,,
364,5967,W34_btx,apo25m,2M02330715+6122567,4,2,51.993103,6381.9004,96.728485,4.036881,0.08410707,6.4984093,15.156539,38.279823,61.382439,1,-0.45325,-0.45325,1.83,2.416840234,1.05792492,MTPFLUX_LT_75,,13.299,0.021,12.893,0.021,12.784,0.027,158906.4903,0.123002693,145.9965872,527779.9894,56.227,,,,,,,,
1927,2337,193+27_MGA,apo25m,2M08062039+2753400,4,2,452.09332,6387.59,54.630363,3.8236651,0.03068573,1.2908885,30.507038,121.584971,27.894447,1,-0.18824,-0.18824,2.281,2.408226051,1.009506232,SUSPECT_ROTATION,"VMICRO_WARN,C_M_BAD",8.616,0.018,8.498,0.02,8.457,0.017,10747896.46,0.089335442,35.03380297,326833.9133,58.081,,,,,,,,
317,6063,173-61,lco25m,2M02205070-0615283,3,2,122.49536,4672.0557,11.78508,3.9411702,0.03323409,16.6589,13.289235,35.21129,-6.257874,1,-0.4335,-0.4335,2.485,2.405253234,1.185332874,,"VMICRO_WARN,N_M_WARN",12.171,0.026,11.75,0.025,11.606,0.025,160544.3871,0.044193301,138.6747612,817388.0487,50.719,,,,,,,,
2288,2662,193+43_MGA,apo25m,2M09172899+3147303,3,2,102.059555,5409.3394,37.468285,4.0662985,0.04426188,25.069008,28.807127,139.370833,31.791754,1,-0.59581,-0.59581,1.381,2.401045423,1.17626933,PERSIST_LOW,"VMICRO_WARN,N_M_WARN",11.132,0.02,10.83,0.016,10.77,0.02,146852.4319,0.06958124,144.5281574,209553.8301,51.01,,,,,,,,
1414,6044,M35N2158_btx,apo25m,2M06093847+2440341,3,2,94.54561,6657.0894,74.21631,4.189859,0.039170142,15.8189125,18.080067,92.410311,24.676149,1,-0.044322,-0.044322,1.428,2.363412339,1.127730232,"BRIGHT_NEIGHBOR,MTPFLUX_LT_75,MTPFLUX_LT_50",,12.333,0.024,12.128,0.022,12.04,0.02,138387.0712,0.001435738,139.9419044,345247.1035,52.284,,,,,,,,
3255,5331,350+23-O,lco25m,2M15570368-2304484,2,2,253.17856,3227.4824,4.518275,4.285589,0.015984504,8.136018,48.37266,239.265353,-23.080118,1,,,1.089,2.353705535,1.040987992,SUSPECT_ROTATION,"N_M_WARN,STAR_WARN,COLORTE_WARN,VSINI_WARN",11.145,0.02,10.507,0.026,10.213,0.023,140283.0059,0.05742858,142.7569833,98407.85865,55.772,,,,,,,,
2062,5638,178+36_btx,apo25m,2M08311262+4325444,3,2,218.42912,4559.659,13.799,3.91968,0.025511812,10.188234,12.419382,127.802586,43.429001,1,-0.47406,-0.47406,3.426,2.35187251,1.124583358,,"VMICRO_WARN,N_M_WARN",11.344,0.019,10.838,0.029,10.75,0.02,766994.9524,0.725800812,150.1168231,1205838.775,52.183,confirmed w/ copy to be a bin 2 object,,,,,,,
2097,2416,200+32_MGA,apo25m,2M08381688+2430433,2,2,125.83064,6056.3174,44.188953,4.026405,0.0370027,9.5330515,10.476109,129.57037,24.512054,1,-0.11166,-0.11166,1.917,2.346618301,1.100189464,,VMICRO_WARN,11.15,0.021,10.857,0.018,10.803,0.018,153266.106,0.436022073,178.6089316,799878.4128,53.116,,,,,,,,
1936,4103,SGR1,apo25m,2M08085424+3214324,3,2,152.97299,4833.23,12.6798,4.3117123,0.03616538,1.2135793,14.325178,122.226011,32.242355,1,-0.7791,-0.7791,1.121,2.346529232,1.009071027,,"VMICRO_WARN,C_M_WARN,N_M_WARN",12.033,0.021,11.578,0.016,11.461,0.017,172180.1651,0.007047615,129.4811691,342064.0688,56.997,,,,,,,,
4534,5451,046-47-O,lco25m,2M21573309-1126232,3,2,96.28605,5985.1426,40.884083,4.3502727,0.027917104,8.73431,13.267833,329.387886,-11.439799,1,0.06837,0.06837,1.499,2.28869639,1.077065844,SUSPECT_ROTATION,"LOGG_WARN,VMICRO_WARN,STAR_WARN,COLORTE_WARN",11.859,0.022,11.475,0.024,11.393,0.021,171503.5995,0.177288592,138.6043877,493859.6088,52.94,,,,,,,,
1815,2085,191+24_MGA,apo25m,2M07490491+2857515,3,2,137.54836,6087.8867,52.925507,3.9239771,0.03795935,2.4211876,15.100802,117.270468,28.964323,1,-0.42063,-0.42063,1.9,2.276011602,1.021373444,BRIGHT_NEIGHBOR,N_M_WARN,10.986,0.019,10.774,0.019,10.769,0.016,131047.7234,0.40662089,177.4171795,549990.8438,55.124,,,,,,,,
4129,5017,K17_072+13,apo25m,2M19252832+4014481,4,2,91.5405,5689.8394,35.480095,4.362087,0.030462187,1.1677192,18.86253,291.368004,40.246696,1,-0.077665,-0.077665,1.101,2.214293986,1.007909589,,,11.994,0.021,11.687,0.022,11.614,0.02,166728.1929,0.259400427,142.0492106,255146.2838,54.482,,,,,,,,
4723,4264,N7789,apo25m,2M23463192+5653359,3,2,134.82262,6224.6953,54.84102,4.0109367,0.03817591,1.988173,25.66256,356.633014,56.893307,1,-0.28759,-0.28759,1.948,2.205358251,1.014766119,SUSPECT_ROTATION,,12.123,0.026,11.851,0.032,11.773,0.023,182391.3528,0.391439766,151.3712551,331811.0513,53.986,,,,,,,,
2872,4219,325+76,apo25m,2M13154641+1457559,3,2,782.12665,6521.3794,57.894608,4.259996,0.029181851,6.5752497,17.729645,198.943407,14.965544,1,-0.28894,-0.28894,1.412,2.179436508,1.050789324,,,7.813,0.024,7.653,0.044,7.627,0.021,129947.2538,0.06677942,134.9782409,348126.055,51.786,,,,,,,,
4464,5110,M15,apo25m,2M21301515+1307000,8,3,86.56442,4414.7344,16.180079,4.3722906,0.03384129,48.685276,36.70287,322.563131,13.116694,1,-0.3829,-0.3829,0.892,3.668855218,1.290328169,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN",13.84,0.027,13.281,0.029,13.096,0.032,141678.7365,0.255718321,234.8200632,106234.7746,64.83,Speical Object to Show Dr. Tayar,,,,,,,
2992,2130,016+77_MGA,apo25m,2M13484687+2340279,3,3,228.9729,6169.477,48.762215,4.014639,0.032381218,1.5555998,23.227371,207.195328,23.674421,1,-0.46425,-0.46425,2.304,2.961229554,1.01261323,SUSPECT_ROTATION,,9.982,0.022,9.778,0.023,9.729,0.018,258142.7994,0.117671862,149.6853009,433595.0242,65.804,,,,,,,,
1959,5637,170+34_btx,apo25m,2M08132471+4833394,6,3,47.709934,3758.58,14.70086,4.4672766,0.0508706,83.303604,38.326576,123.352992,48.560951,1,-0.81879,-0.81879,0.881,2.449678159,1.551356006,"BRIGHT_NEIGHBOR,PERSIST_MED,PERSIST_LOW,SUSPECT_ROTATION",VMICRO_WARN,13.826,0.026,13.103,0.029,12.907,0.031,226148.7923,0.000139661,123.2625942,100479.5677,36.671,Show to Dr. Tayar,,,,,,,
4744,5071,060-75,apo25m,2M23531705-1916084,3,3,344.37872,5822.44,38.077393,3.9536695,0.031967636,10.6242285,20.455023,358.321075,-19.269003,1,-0.48671,-0.48671,2.281,2.345025467,1.094328314,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN",10.41,0.023,10.161,0.022,10.074,0.019,144763.5944,0.083872817,142.7253719,487446.7564,53.334,,,,,,,,
1953,5637,170+34_btx,apo25m,2M08123639+4931541,3,4,103.94443,4629.2725,16.784815,3.9312878,0.044269416,106.9198,81.865326,123.151665,49.531719,1,-0.92667,-0.92667,1.232,5.785507386,1.636847878,"BRIGHT_NEIGHBOR,SUSPECT_ROTATION","VMICRO_WARN,N_M_WARN,VSINI_WARN",12.722,0.025,12.154,0.023,12.082,0.023,161276.5503,0.000205664,256.8161923,65782.83468,71.708,,,,,,,,
2599,4510,250+60,apo25m,2M11194113+0808315,3,4,69.44728,4829.1855,28.156704,3.6143603,0.045384698,19.121967,32.018425,169.921385,8.142108,1,-0.72699,-0.72699,2.749,4.857801487,1.161952238,,"VMICRO_WARN,N_M_WARN",12.897,0.026,12.391,0.025,12.334,0.029,149441.1129,0.013728173,240.2293406,375298.3427,76.081,,,,,,,,
625,6180,K2_C4_173-23_btx,apo25m,2M04035349+1904150,3,4,103.94241,4751.3945,18.246435,4.483417,0.029855907,1.2164427,35.768444,60.972903,19.07086,1,-0.2725,-0.2725,1.348,4.29778197,1.007117822,"PERSIST_LOW,SUSPECT_ROTATION","VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",9.177,0.021,8.724,0.021,8.636,0.017,173283.3847,0.095553108,221.4876159,164737.2136,76.567,,,,,,,,
1859,2399,184+30_MGA,apo25m,2M07562582+3631209,3,4,85.64226,5951.403,55.43534,4.202569,0.04498271,20.936972,18.4162,119.107605,36.522484,1,-0.47326,-0.47326,1.399,3.926479241,1.171130395,"BRIGHT_NEIGHBOR,PERSIST_LOW",,10.716,0.027,10.427,0.031,10.33,0.02,133075.8236,0.129743978,232.3918344,332062.2937,70.174,,,,,,,,
2515,7070,288-00-C,lco25m,2M10501101-5857588,3,4,55.210804,5451.269,58.912647,3.7846994,0.06407262,12.242554,30.053844,162.545898,-58.966351,1,0.077333,0.077333,3.48,3.395827883,1.111198026,SUSPECT_ROTATION,,13.715,0.036,13.16,0.023,12.965,0.024,151298.4135,0.076128818,194.8985926,506152.1522,67.278,,,,,,,,
2505,7072,288-01-C,lco25m,2M10472371-6024261,2,4,74.110565,6132.312,51.710735,3.7547894,0.046129167,1.1277508,33.527412,161.848819,-60.407269,1,0.13935,0.13935,2.914,3.318273942,1.008727655,SUSPECT_ROTATION,,12.905,0.022,12.583,0.026,12.509,0.03,267546.2242,0.365895718,191.1659994,379919.3275,69.601,,,,,,,,
4386,5859,CygnusX_N_btx,apo25m,2M20424911+4118364,3,4,52.349033,6059.9507,67.16398,4.108335,0.05875883,10.941472,12.234888,310.704645,41.31012,1,-0.025209,-0.025209,1.415,2.927066451,1.098587562,,,13.537,0.029,13.031,0.03,12.884,0.023,156043.642,0.030123468,167.1995913,505543.247,62.468,,,,,,,,
2158,2475,194+39_MGA,apo25m,2M08491490+3111434,3,4,28.50991,5649.226,142.87756,4.0917807,0.15656948,39.785095,19.538895,132.312098,31.195396,1,-0.38563,-0.38563,1.549,2.839550839,1.365377842,"MTPFLUX_LT_75,MTPFLUX_LT_50",SN_BAD,11.372,0.023,11.139,0.032,10.997,0.022,139616.6679,0.009154403,167.2234032,346539.9357,51.916,,,,,,,,
116,2893,123-63_MGA,apo25m,2M00484890-0023195,3,4,15.710821,4813.915,52.908413,4.1734414,0.10482843,2.3532643,43.53114,12.203787,-0.388775,1,-0.73707,-0.73707,1.611,2.684379049,1.01374656,"PERSIST_MED,SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50","VMICRO_WARN,C_M_WARN,SN_BAD",10.77,0.027,10.318,0.027,10.218,0.025,130512.1193,0.175380602,178.210748,161769.7713,62.235,,,,,,,,
3570,2742,044+35_MGA,apo25m,2M16553045+2247026,2,4,96.11329,5594.034,26.329142,4.34752,0.021671038,12.744704,18.69821,253.876881,22.784063,1,0.32426,0.32426,1.917,2.659246156,1.111153778,"PERSIST_MED,PERSIST_LOW,SUSPECT_ROTATION",VMICRO_WARN,11.08,0.018,10.72,0.021,10.627,0.02,492378.2227,0.100011319,108.622714,448150.5684,58.215,,,,,,,,
821,6202,K2_C13_180-12_btx,apo25m,2M04570892+2225446,3,4,9.164909,5646.5703,346.5689,3.60963,0.25376564,2.392666,13.743585,74.287181,22.429062,1,-0.23936,-0.23936,1.945,2.524201218,1.021974575,"LOW_SNR,SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50","TEFF_WARN,N_M_WARN,STAR_WARN,SN_BAD",13.085,0.024,12.67,0.023,12.587,0.026,260263.8748,0.132170126,130.1181706,618616.4218,59.513,,,,,,,,
2594,5231,300-23,lco25m,2M11192490-8514311,3,4,29.039343,4343.741,18.155165,4.34449,0.03942588,5.1084023,12.752637,169.853775,-85.241997,1,-0.17856,-0.17856,10.359,2.436235541,1.087558289,MTPFLUX_LT_75,"VMICRO_WARN,N_M_WARN,SN_BAD",12.744,0.026,12.15,0.025,12.05,0.028,149284.7328,0.010390301,141.4954671,3550746.822,55.359,,,,,,,,
4349,4284,060-12,apo25m,2M20294351+1657078,3,4,226.38809,6585.759,57.71253,3.6964521,0.027204776,25.48817,19.801586,307.431329,16.952177,1,-0.11119,-0.11119,2.989,2.350101601,1.27754593,"BRIGHT_NEIGHBOR,SUSPECT_BROAD_LINES",C_M_BAD,10.681,0.023,10.581,0.028,10.569,0.021,136999.5186,0.023240553,141.115677,659823.5476,45.639,,,,,,,,
2075,6042,NGC2632_btx,apo25m,2M08362084+1941068,3,4,62.574867,6229.335,81.00494,4.225455,0.07174957,4.1059046,10.473697,129.086857,19.68523,1,-0.14059,-0.14059,1.195,2.307881382,1.035403226,,"STAR_WARN,COLORTE_WARN",13.77,0.023,13.522,0.03,13.408,0.033,130061.158,0.074660473,144.6415129,498734.913,55.136,,,,,,,,
3370,2230,067+46_MGA,apo25m,2M16151949+4214497,3,4,48.885746,5847.6343,57.001755,4.0773034,0.049694065,22.106197,35.99151,243.831218,42.247154,1,-0.15943,-0.15943,1.474,2.201378496,1.144849201,"PERSIST_LOW,SUSPECT_ROTATION",,11.69,0.02,11.365,0.019,11.329,0.022,165716.898,0.028704979,123.4483878,179019.0663,47.994,,,,,,,,
4092,5906,K2_C7_009-18_btx,apo25m,2M19203613-2913349,4,4,76.94886,4962.406,26.508865,3.9650545,0.04380869,50.07783,45.835297,290.150571,-29.226377,1,-0.67564,-0.67564,1.844,2.179232403,1.367152535,"SUSPECT_ROTATION,MTPFLUX_LT_75",N_M_WARN,12.186,0.021,11.791,0.027,11.664,0.026,139193.6909,0.026293613,129.1347264,175858.2466,37.264,,,,,,,,
1831,2385,189+27_MGA,apo25m,2M07520003+3151264,2,5,151.2005,4574.202,12.9742155,4.4508,0.022264838,3.9803889,62.044037,118.000131,31.857361,1,-0.10324,-0.10324,0.945,4.267591015,1.017336081,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,VSINI_WARN",11.474,0.018,10.984,0.022,10.857,0.018,172283.0795,0.007694583,210.9129316,66578.44262,76.161,"Duplicate of 1830 index, location ID 2314)",,,,,,,
2061,2100,177+34_MGA,apo25m,2M08311262+4325444,4,5,77.44506,4534.936,18.919258,3.7681057,0.03805754,2.8110533,13.857983,127.802586,43.429001,1,-0.4676,-0.4676,3.426,2.35187251,1.031281536,"MTPFLUX_LT_75,MTPFLUX_LT_50","VMICRO_WARN,STAR_WARN,COLORTE_WARN",11.344,0.019,10.838,0.029,10.75,0.02,766994.9524,0.725800812,150.1168231,1080660.322,56.151,copy of above,,,,,,,
2613,2342,152+63_MGA,apo25m,2M11291785+4853250,3,5,166.06213,5021.997,16.563791,4.406617,0.020552773,82.988846,44.62724,172.324408,48.890278,1,-0.030898,-0.030898,1.155,2.204205362,1.577928097,"PERSIST_LOW,SUSPECT_ROTATION","VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",10.015,0.03,9.704,0.034,9.601,0.018,178084.005,0.171288267,130.6739553,113131.5735,28.413,Copy of one above,,,,,,,
