,Location ID,Field,Telescope,SDSS ID,nvisits,Bin ,Signal-to-noise,teff,Effective Temperature Error,logg,Log(g) Error,vscatter,vsini,RA,Dec,SLs,FE/H,FE/H Error,Radius [Solar Radii],"CO Mass [Solar Masses, Joker]","CO Mass [Solar Masses, Rotational Period]",Star Flags (spelled),ASPCAP Flags (spelled),J-Band Magnitude,J-Band Error,H-Band Magnitude,H-Band Error,K-Band Magnitude,K-Band Error,"Period [Joker, Seconds]",Eccentricity [Joker],"K [Joker, km/s]","Period [seconds, Rotational]",Percent Error Mass,Comments,,,,,,,
1938,4529,135+30,apo25m,2M08092218+7739466,3,1,180.22858,4605.5166,7.9868426,3.6274388,0.024099505,11.105321,10.656143,122.342445,77.662971,1,-0.14265,-0.14265,3.342,3.335639511,1.143299261,"BRIGHT_NEIGHBOR,PERSIST_LOW",,11.18,0.017,10.703,0.018,10.585,0.021,187172.9187,0.054175742,177.0248327,1370907.895,65.725,,,,,,,,
3818,4526,090+30,apo25m,2M18004359+6018471,3,1,83.54347,4423.843,16.833744,3.7675257,0.035502415,28.864288,12.117137,270.181633,60.313095,1,-0.46464,-0.46464,2.614,3.240761546,1.371121455,"BRIGHT_NEIGHBOR,PERSIST_HIGH,PERSIST_MED","VMICRO_WARN,N_M_WARN",12.558,0.023,11.96,0.023,11.877,0.021,137214.679,0.004126552,187.1239171,942990.7589,57.691,,,,,,,,
4158,5005,K05_080+14,apo25m,2M19295433+4824378,4,1,184.70895,5822.5063,28.833885,3.748275,0.02095143,37.9331,51.605976,292.476389,48.410519,1,0.038297,0.038297,3.565,3.152781131,1.326376622,SUSPECT_ROTATION,"TEFF_WARN,STAR_WARN,COLORTE_WARN,VSINI_WARN",10.234,0.027,10.016,0.032,9.919,0.022,172122.4354,0.014230108,170.6492299,301968.3388,57.93,,,,,,,,
2871,2134,111+70_MGA,apo25m,2M13145501+4711051,2,1,419.69452,6487.3467,43.39789,4.362558,0.019723216,41.063763,10.990059,198.729233,47.184769,1,0.1605,0.1605,1.529,3.136658944,1.479995435,,"STAR_WARN,COLORTE_WARN",9.829,0.022,9.593,0.027,9.549,0.019,133112.5626,0.012241228,184.9662426,608148.0705,52.816,Poorly Sampled Object,,,,,,,
375,5168,150-30,apo25m,2M02353692+2614404,3,1,296.59854,4924.869,19.213041,4.289072,0.02895948,60.415054,41.171806,38.903848,26.244574,1,-0.57813,-0.57813,1.111,3.121309527,1.392510759,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",10.572,0.024,10.206,0.025,10.099,0.022,135249.6643,0.038163979,185.7166427,117954.9071,55.387,,,,,,,,
212,5142,140-60,apo25m,2M01232203+0142453,3,1,307.6233,5062.399,12.179967,3.8459265,0.03177784,39.645638,15.624278,20.841804,1.712609,1,-0.82676,-0.82676,1.929,3.016364839,1.43657748,PERSIST_LOW,"VMICRO_WARN,N_M_WARN",10.277,0.024,9.849,0.024,9.765,0.024,147787.9417,0.041535862,175.6491863,539677.2883,52.374,,,,,,,,
1686,5961,251-12,lco25m,2M07185814-3924298,3,1,152.62254,4268.332,11.453961,4.4528246,0.024272762,21.302765,14.672359,109.74229,-39.408287,1,-0.26576,-0.26576,1.057,3.008630575,1.171061092,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",12.151,0.024,11.52,0.023,11.336,0.022,153292.1436,0.019312998,171.17862,314903.0843,61.077,,,,,,,,
1236,5272,ORIONA-D,apo25m,2M05385437-0728014,3,1,86.68323,4309.5767,15.9867,4.331216,0.036459986,32.21275,36.982815,84.72655,-7.467056,1,-0.50296,-0.50296,0.834,2.97208801,1.176140765,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",12.704,0.021,12.122,0.027,11.958,0.026,129640.3645,0.301673174,212.3291345,98575.26592,60.427,,,,,,,,
3102,2364,080+59_MGA,apo25m,2M14492141+4706301,4,1,237.28398,5869.554,32.080494,4.0971923,0.023647852,20.451042,39.021145,222.33923,47.108376,1,-0.10197,-0.10197,2.127,2.790147506,1.147643124,SUSPECT_ROTATION,VMICRO_WARN,10.393,0.021,10.157,0.022,10.078,0.017,177369.4542,0.04954068,155.2189515,238269.9934,58.868,,,,,,,,
3161,2219,092+52_MGA,apo25m,2M15135925+5505448,3,1,209.23186,6545.8677,58.488937,4.3161926,0.02889717,44.636765,16.749428,228.496899,55.095779,1,-0.27196,-0.27196,1.7,2.728716986,1.466928883,,VMICRO_WARN,9.855,0.023,9.643,0.021,9.604,0.014,158700.3731,0.014417722,155.0408656,443660.5495,46.241,,,,,,,,
3004,5749,335+61_btx,apo25m,2M13525243+0354262,6,1,393.62173,5749.8916,28.83304,4.349658,0.02280818,16.865065,15.014123,208.218486,3.90728,1,-0.14338,-0.14338,1.576,2.692002796,1.151847422,,VMICRO_WARN,10.408,0.027,10.102,0.022,10.011,0.024,3589354.358,0.51911813,77.51631282,458836.666,57.212,,,,,,,,
2274,2662,193+43_MGA,apo25m,2M09131697+3205319,3,1,157.48566,4624.0024,14.531374,4.3737,0.025229137,41.57392,17.988708,138.320718,32.092216,1,-0.2829,-0.2829,0.936,2.676772637,1.325277281,BRIGHT_NEIGHBOR,"VMICRO_WARN,N_M_WARN",11.574,0.019,11.081,0.022,10.955,0.017,167786.5883,0.001018345,148.5145564,227445.7092,50.49,,,,,,,,
1179,6229,Berkeley_20_btx,apo25m,2M05363621-0112076,3,1,111.79128,4673.5054,18.548292,4.27781,0.03330082,50.306805,33.442596,84.150901,-1.202134,1,-0.40245,-0.40245,1.44,2.658937013,1.379556681,"SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50","VMICRO_WARN,N_M_WARN",11.78,0.022,11.247,0.031,11.113,0.019,147911.5997,0.006558301,154.354603,188219.3986,48.116,,,,,,,,
2283,2662,193+43_MGA,apo25m,2M09160924+3253128,3,1,244.09424,5319.7686,19.086819,3.9932976,0.01919047,53.571888,40.52285,139.038521,32.886898,1,-0.050613,-0.050613,1.862,2.605459757,1.421338388,SUSPECT_ROTATION,,10.462,0.022,10.098,0.019,10.049,0.018,147911.5997,0.006558301,151.4159152,200854.5001,45.448,,,,,,,,
301,2428,151-45_MGA,apo25m,2M02110825+1219306,3,1,670.1787,6357.1743,42.154114,4.401506,0.021567862,22.04928,12.319696,32.784402,12.325182,1,0.030388,0.030388,1.397,2.592261596,1.210566494,,N_M_WARN,8.019,0.021,7.819,0.024,7.747,0.02,174778.7544,0.007009285,142.5585726,495676.4509,53.301,,,,,,,,
