,Field,Telescope,SDSS ID,nvisits,SNR,J_M,J_M_e,H_M,H_M_e,K_M,K_M_e,RA,Dec,Star Flags (bitwise),Star Flags (spelled),ASPCAP Flags (bitwise),ASPCAP Flags (spelled),teff,teff_e,logg,logg_e,vscatter,vsini,SLs,Fe_H,Fe_H_e,radius,P_joker,e_joker,K_joker,P_rsync,RHS_joker,RHS_rsync,CO_mass_joker,CO_mass_rsync
4349,060-12,apo25m,2M20294351+1657078,3.0,226.38809,10.681,0.023,10.581,0.028,10.569,0.021,307.431329,16.952177,131076.0,"BRIGHT_NEIGHBOR,SUSPECT_BROAD_LINES",2097152.0,C_M_BAD,6585.759,57.71253,3.6964521,0.027204776,25.48817,19.801586,1.0,-0.11119,-0.11119,2.989,136999.51858520508,0.023240553215146065,141.11567699114485,659823.547589282,0.44557722321751925,0.013099071005543908,2.350101601024962,1.2775459301984011
4379,040-27_MGA,apo25m,2M20403505-0608501,3.0,99.57161,11.297,0.026,11.026,0.026,10.935,0.023,310.146053,-6.147251,0.0,,4.0,VMICRO_WARN,5890.0283,39.603382,4.131276,0.02940894,40.03534,16.371935,1.0,-0.0085881,-0.0085881,1.554,164184.037399292,6.203389057191089e-05,264.67938202808,414909.0181637246,3.649619386050488,0.03192126975627247,6.191143747564151,1.396290512047288
4386,CygnusX_N_btx,apo25m,2M20424911+4118364,3.0,52.349033,13.537,0.029,13.031,0.03,12.884,0.023,310.704645,41.31012,0.0,,0.0,,6059.9507,67.16398,4.108335,0.05875883,10.941472,12.234888,1.0,-0.025209,-0.025209,1.415,156043.64204406738,0.03012346848845482,167.19959134167246,505543.24696391553,0.8352627420030474,0.0007939301482325436,2.9270664507017545,1.098587561530337
4464,M15,apo25m,2M21301515+1307000,8.0,86.56442,13.84,0.027,13.281,0.029,13.096,0.032,322.563131,13.116694,8388608.0,SUSPECT_ROTATION,68.0,"VMICRO_WARN,N_M_WARN",4414.7344,16.180079,4.3722906,0.03384129,48.685276,36.70287,1.0,-0.3829,-0.3829,0.892,141678.73649597168,0.25571832060813904,234.82006318073675,106234.77456228127,1.4122545762585732,0.01469793526754274,3.6688552182870926,1.2903281688535149
4534,046-47-O,lco25m,2M21573309-1126232,3.0,96.28605,11.859,0.022,11.475,0.024,11.393,0.021,329.387886,-11.439799,8388608.0,SUSPECT_ROTATION,646.0,"LOGG_WARN,VMICRO_WARN,STAR_WARN,COLORTE_WARN",5985.1426,40.884083,4.3502727,0.027917104,8.73431,13.267833,1.0,0.06837,0.06837,1.499,171503.59954833984,0.17728859186172485,138.6043876504086,493859.6088215048,0.4085753625598117,0.0003945354524048002,2.2886963902027437,1.0770658444032364
4549,046-47-O,lco25m,2M22042753-1147097,3.0,230.94792,10.232,0.024,9.853,0.026,9.809,0.023,331.114735,-11.786052,16777216.0,MTPFLUX_LT_75,68.0,"VMICRO_WARN,N_M_WARN",5474.4307,24.56546,4.436649,0.023816602,1.3517067,11.426151,1.0,-0.24276,-0.24276,1.203,171395.26748657227,0.6434875726699829,243.59849491910083,460222.17437004123,0.6323119045229804,1.3627357830581128e-06,2.6391623687622734,1.011169289009107
4580,074-35_MGA,apo25m,2M22154170+1154386,4.0,648.3156,8.162,0.02,7.953,0.017,7.933,0.026,333.923781,11.910725,0.0,,64.0,N_M_WARN,6329.254,52.45724,3.9768946,0.030664135,6.3538375,13.861176,1.0,-0.39148,-0.39148,1.638,13499977.587890625,0.7322846055030823,124.29949973281082,516553.9551492257,4.305741254043557,0.000158862254752727,6.891473645686188,1.0561695957746078
4581,075-35_MGA,apo25m,2M22154170+1154386,3.0,504.18457,8.162,0.02,7.953,0.017,7.933,0.026,333.923781,11.910725,0.0,,0.0,,6340.2896,52.09699,3.9616337,0.030014236,3.5382805,13.966899,1.0,-0.36866,-0.36866,1.638,13499977.587890625,0.7322846055030823,124.29949973281082,512643.87934784405,4.305741254043557,2.7226340648815247e-05,6.891473645686188,1.0306965212101846
4630,105+00,apo25m,2M22331751+5759568,3.0,159.46515,12.065,0.02,11.548,0.019,11.467,0.019,338.322961,57.999138,0.0,,644.0,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",5605.402,29.200554,4.3812513,0.027764726,36.5089,27.327503,1.0,-0.1491,-0.1491,1.35,173254.62799072266,0.051195017993450165,126.35572065823648,215941.28905873807,0.38728593642276254,0.012598784692934852,2.252548175926619,1.2733691287731046
4651,075-45,apo25m,2M22453272+0706575,3.0,60.74772,12.986,0.026,12.508,0.032,12.312,0.03,341.386357,7.115987,0.0,,68.0,"VMICRO_WARN,N_M_WARN",4831.7725,26.396023,4.359224,0.038630374,47.115032,22.387213,1.0,-0.36033,-0.36033,1.043,159575.57830810547,0.002270589815452695,140.73897849066773,203650.81330077336,0.5315271982811579,0.02553649808650373,2.4868991731232413,1.3617973244407016
4723,N7789,apo25m,2M23463192+5653359,3.0,134.82262,12.123,0.026,11.851,0.032,11.773,0.023,356.633014,56.893307,8388608.0,SUSPECT_ROTATION,0.0,,6224.6953,54.84102,4.0109367,0.03817591,1.988173,25.66256,1.0,-0.28759,-0.28759,1.948,182391.35284423828,0.3914397656917572,151.3712551115398,331811.051253773,0.36006968325251354,3.1264398810139866e-06,2.205358250741852,1.014766118756297
4744,060-75,apo25m,2M23531705-1916084,3.0,344.37872,10.41,0.023,10.161,0.022,10.074,0.019,358.321075,-19.269003,8388608.0,SUSPECT_ROTATION,68.0,"VMICRO_WARN,N_M_WARN",5822.44,38.077393,3.9536695,0.031967636,10.6242285,20.455023,1.0,-0.48671,-0.48671,2.281,144763.5944366455,0.08387281745672226,142.72537189559745,487446.75640429434,0.44247963014387776,0.0007008355339302686,2.345025467191952,1.09432831421519
